family,kind,board,members,basis,caveat
L-deadline,implication,Climate and Weather,USCLIMATE | 2 legs,earlier deadline implies later within one event,1 monitorable pairs
P1-mutex,partition,Climate and Weather,KXPRIMEENGCONSUMPTION-30 | 10 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,EVSHARE-30JAN | 4 legs,nested thresholds on one subject: above #%,6 monitorable pairs
L-deadline,implication,Climate and Weather,KXTXURI-28DEC31 | 3 legs,earlier deadline implies later within one event,3 monitorable pairs
P1-mutex,partition,Climate and Weather,KXRONI-27AUG | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXVEI4-26DEC31 | 3 legs,nested thresholds on one subject: at least #,3 monitorable pairs
P1-mutex,partition,Climate and Weather,KXRONI-27APR2 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXRONI-27APR | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXMEAD-26DEC | 8 legs,nested thresholds on one subject: above # ft,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXTROPSTORM-26DEC01 | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURCTOTMAJ-26DEC01 | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURCTOT-26DEC01 | 9 legs,nested thresholds on one subject: above #,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXNAMEDSTORM-26DEC01EPACTOT | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXNAMEDSTORM-26DEC01CPACTOT | 6 legs,nested thresholds on one subject: above #,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01EPACTOT | 9 legs,nested thresholds on one subject: above #,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01EPACMAJ | 6 legs,nested thresholds on one subject: above #,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01CPACTOT | 5 legs,nested thresholds on one subject: above #,10 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01CPACMAJ | 4 legs,nested thresholds on one subject: above #,6 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURCAT-26FAUSTO | 3 legs,nested thresholds on one subject: category # or above,3 monitorable pairs
P1-mutex,partition,Climate and Weather,KXFIRSTHURRICANE-26DEC01ATL | 21 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXARCTICICEMIN-26OCT01 | 9 legs,nested thresholds on one subject: below # million sq km,36 monitorable pairs
P1-mutex,partition,Climate and Weather,KXHMONTHRANGE-26AUG | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXRAINSFOM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINSEAM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINMIAM-26AUG | 9 legs,nested thresholds on one subject: above # inches,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINLAXM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINHOUM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINDENM-26AUG | 9 legs,nested thresholds on one subject: above # inches,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINDALM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINCHIM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINAUSM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXTORNADO-26AUG | 11 legs,nested thresholds on one subject: above #,55 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINNYCM-26AUG | 4 legs,nested thresholds on one subject: above # inches,6 monitorable pairs
P1-mutex,partition,Climate and Weather,KXHMONTHRANGE-26JUL | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSFO-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSEA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSATX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTPHX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTPHIL-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTOKC-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTNYC-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTNOLA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTMIN-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTMIA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTLV-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTLAX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTHOU-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTDEN-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTDC-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTDAL-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTCHI-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTBOS-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTAUS-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTATL-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTSFO-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTSEA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTSATX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTPHX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTOKC-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTNOLA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTMIN-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTLV-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTHOU-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTDC-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTDAL-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTBOS-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTATL-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHPHIL-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHNY-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHMIA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHLAX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHDEN-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHCHI-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHAUS-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSFO-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSEA-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSATX-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTPHX-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTPHIL-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTOKC-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTNYC-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTNOLA-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTMIN-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTMIA-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTLV-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTLAX-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTHOU-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTDEN-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTDC-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTDAL-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTCHI-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTBOS-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTAUS-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTATL-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTSFO-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTSEA-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTSATX-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTPHX-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTOKC-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTNOLA-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTMIN-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTLV-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTHOU-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTDC-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTDAL-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTBOS-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHTATL-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHPHIL-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHNY-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHMIA-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHLAX-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHDEN-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHCHI-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXHIGHAUS-26AUG03 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXTEMPNYCH-26AUG0316 | 10 legs,nested thresholds on one subject: #° or above,45 monitorable pairs
L-threshold,implication,Climate and Weather,KXTEMPLAXH-26AUG0316 | 10 legs,nested thresholds on one subject: #° or above,45 monitorable pairs
L-threshold,implication,Climate and Weather,KXTEMPDCH-26AUG0316 | 10 legs,nested thresholds on one subject: #° or above,45 monitorable pairs
L-threshold,implication,Climate and Weather,KXTEMPCHIH-26AUG0316 | 10 legs,nested thresholds on one subject: #° or above,45 monitorable pairs
L-threshold,implication,Climate and Weather,KXTEMPAUSH-26AUG0316 | 10 legs,nested thresholds on one subject: #° or above,45 monitorable pairs
L-threshold,implication,Commodities,KXOPUS48Y-27 | 4 legs,nested thresholds on one subject: $#/mtok or below,6 monitorable pairs
L-threshold,implication,Commodities,KXOPUS48OY-27 | 4 legs,nested thresholds on one subject: $#/mtok or below,6 monitorable pairs
L-threshold,implication,Commodities,KXGPT55Y-27 | 4 legs,nested thresholds on one subject: $#/mtok or below,6 monitorable pairs
L-threshold,implication,Commodities,KXGEMINI35Y-27 | 4 legs,nested thresholds on one subject: $#/mtok or below,6 monitorable pairs
L-threshold,implication,Commodities,KXGEMINI35OY-27 | 4 legs,nested thresholds on one subject: $#/mtok or below,6 monitorable pairs
L-threshold,implication,Commodities,KXGBT55OY-27 | 4 legs,nested thresholds on one subject: $#/mtok or below,6 monitorable pairs
L-threshold,implication,Commodities,KXGOLDDIRY-26DEC31H1700 | 13 legs,nested thresholds on one subject: # or above,78 monitorable pairs
L-threshold,implication,Commodities,KXWTIDIRY-26DEC31H1430 | 11 legs,nested thresholds on one subject: # or above,55 monitorable pairs
L-threshold,implication,Commodities,KXWTI-26NOV03 | 10 legs,nested thresholds on one subject: above $#,45 monitorable pairs
L-threshold,implication,Commodities,KXWTI-26NOV03 | 45 legs,nested thresholds on one subject: $# or above,990 monitorable pairs
L-threshold,implication,Commodities,KXSILVERMON-26AUG3117 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXNATGASMON-26AUG3117 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXGOLDMON-26AUG3117 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXCOPPERMON-26AUG3117 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXBRENTMON-26AUG3117 | 20 legs,nested thresholds on one subject: above $#,190 monitorable pairs
L-threshold,implication,Commodities,KXSILVERW-26AUG0717 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXNATGASW-26AUG0717 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXGOLDW-26AUG0717 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXCOPPERW-26AUG0717 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXBRENTW-26AUG0717 | 20 legs,nested thresholds on one subject: above $#,190 monitorable pairs
P1-mutex,partition,Commodities,KXWTIW-26AUG0714 | 27 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P2-exhaustive,partition,Commodities,KXWTIW-26AUG0714 | 27 legs,tiled partition with explicit precision clause: YES-basket = $1,the only price-free synthetic dollar; buy-all direction
L-threshold,implication,Commodities,KXSILVERD-26AUG0417 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXNATGASD-26AUG0417 | 70 legs,nested thresholds on one subject: above $#,2415 monitorable pairs
L-threshold,implication,Commodities,KXGOLDD-26AUG0417 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXCOPPERD-26AUG0417 | 50 legs,nested thresholds on one subject: above $#,1225 monitorable pairs
L-threshold,implication,Commodities,KXBRENTD-26AUG0417 | 20 legs,nested thresholds on one subject: above $#,190 monitorable pairs
L-threshold,implication,Commodities,KXWTI-26AUG0414 | 30 legs,nested thresholds on one subject: above $#,435 monitorable pairs
L-threshold,implication,Commodities,KXWTIH-26AUG0317 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXSILVERD-26AUG0317 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXPLATINUMH-26AUG0317 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXPALLADIUMH-26AUG0317 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXNATGASD-26AUG0317 | 90 legs,nested thresholds on one subject: above $#,4005 monitorable pairs
L-threshold,implication,Commodities,KXGOLDD-26AUG0317 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXCOPPERD-26AUG0317 | 50 legs,nested thresholds on one subject: above $#,1225 monitorable pairs
L-threshold,implication,Commodities,KXBRENTD-26AUG0317 | 30 legs,nested thresholds on one subject: above $#,435 monitorable pairs
L-threshold,implication,Commodities,KXWTIH-26AUG0316 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXSILVERH-26AUG0316 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXPLATINUMH-26AUG0316 | 42 legs,nested thresholds on one subject: above $#,861 monitorable pairs
L-threshold,implication,Commodities,KXPALLADIUMH-26AUG0316 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-threshold,implication,Commodities,KXGOLDH-26AUG0316 | 40 legs,nested thresholds on one subject: above $#,780 monitorable pairs
L-deadline,implication,Commodities,KXWTIWHEN-100 | 5 legs,earlier deadline implies later within one event,10 monitorable pairs
L-deadline,implication,Commodities,KXWTIWHEN-65 | 6 legs,earlier deadline implies later within one event,15 monitorable pairs
L-deadline,implication,Companies,KXAGICO-COMP | 12 legs,earlier deadline implies later within one event,66 monitorable pairs
L-threshold,implication,Companies,KXFYREFESTPRICE-30 | 10 legs,nested thresholds on one subject: at least $#,45 monitorable pairs
L-threshold,implication,Companies,KXMETAA-28JANHEAD | 5 legs,nested thresholds on one subject: above #,10 monitorable pairs
L-threshold,implication,Companies,KXUALA-28JANPAX | 7 legs,nested thresholds on one subject: above # million,21 monitorable pairs
L-threshold,implication,Companies,KXTSLAA-28JANPROD | 9 legs,nested thresholds on one subject: above # million,36 monitorable pairs
L-threshold,implication,Companies,KXTSLAA-28JANDEL | 9 legs,nested thresholds on one subject: above # million,36 monitorable pairs
L-threshold,implication,Companies,KXSPOTA-28JANPREMSUBS | 9 legs,nested thresholds on one subject: above # million,36 monitorable pairs
L-threshold,implication,Companies,KXSPOTA-28JANMAU | 7 legs,nested thresholds on one subject: above # million,21 monitorable pairs
L-threshold,implication,Companies,KXSBUXA-28JANSTORES | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Companies,KXSBUXA-28JANCOMPTXN | 6 legs,nested thresholds on one subject: above #%,15 monitorable pairs
L-threshold,implication,Companies,KXMOA-28JANCIGS | 14 legs,nested thresholds on one subject: above # billion,91 monitorable pairs
L-threshold,implication,Companies,KXMETAA-28JANDAP | 8 legs,nested thresholds on one subject: above # billion,28 monitorable pairs
L-threshold,implication,Companies,KXLUVA-28JANSEATS | 6 legs,nested thresholds on one subject: above # million,15 monitorable pairs
L-threshold,implication,Companies,KXHOODA-28JANFUNDED | 21 legs,nested thresholds on one subject: above # million,210 monitorable pairs
L-threshold,implication,Companies,KXGRABA-28JANMTU | 15 legs,nested thresholds on one subject: above # million,105 monitorable pairs
L-threshold,implication,Companies,KXFA-28JANUSSALES | 11 legs,nested thresholds on one subject: above # million,55 monitorable pairs
L-threshold,implication,Companies,KXEBAYA-28JANGMV | 17 legs,nested thresholds on one subject: above $# billion,136 monitorable pairs
L-threshold,implication,Companies,KXCVNAA-28JANUNITS | 14 legs,nested thresholds on one subject: above # thousand,91 monitorable pairs
L-threshold,implication,Companies,KXCMGA-28JANRESTS | 15 legs,nested thresholds on one subject: above #,105 monitorable pairs
L-threshold,implication,Companies,KXCCLA-28JANALBD | 13 legs,nested thresholds on one subject: above # million,78 monitorable pairs
L-threshold,implication,Companies,KXBAA-28JANDELIV | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Companies,KXTSLAA-28JANHEAD | 6 legs,nested thresholds on one subject: above #,15 monitorable pairs
L-threshold,implication,Companies,KXSPOTA-28JANHEAD | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
P1-mutex,partition,Companies,KXTAKEOVERACQWB-27JUN30 | 3 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Companies,KXCAVAA-27FEBREST | 7 legs,nested thresholds on one subject: above #,21 monitorable pairs
L-threshold,implication,Companies,KXHDA-27FEBTXN | 9 legs,nested thresholds on one subject: above # billion,36 monitorable pairs
L-threshold,implication,Companies,KXUBERA-27FEBTRIPS | 8 legs,nested thresholds on one subject: above # billion,28 monitorable pairs
L-threshold,implication,Companies,KXLYFTA-27FEBRIDES | 10 legs,nested thresholds on one subject: above # billion,45 monitorable pairs
L-threshold,implication,Companies,KXHOODA-27FEBGOLDSUBS | 11 legs,nested thresholds on one subject: above # million,55 monitorable pairs
L-threshold,implication,Companies,KXCMGA-27FEBHEAD | 6 legs,nested thresholds on one subject: above # thousand,15 monitorable pairs
L-threshold,implication,Companies,KXPMA-27FEBZYNPCH | 8 legs,nested thresholds on one subject: above # billion,28 monitorable pairs
L-threshold,implication,Companies,KXMETAA-27JANIMPR | 8 legs,nested thresholds on one subject: above #%,28 monitorable pairs
L-threshold,implication,Companies,KXLUVA-27JANFARE | 7 legs,nested thresholds on one subject: above $#,21 monitorable pairs
